Character	Occurences	Low-Range			High-Range
 		197		0.0000000000000000		0.1636212624584718
'		5		0.1636212624584718		0.1677740863787375
(		1		0.1677740863787375		0.1686046511627907
)		1		0.1686046511627907		0.1694352159468439
,		10		0.1694352159468439		0.1777408637873754
-		2		0.1777408637873754		0.1794019933554817
.		8		0.1794019933554817		0.1860465116279070
0		3		0.1860465116279070		0.1885382059800664
1		2		0.1885382059800664		0.1901993355481728
5		1		0.1901993355481728		0.1910299003322259
6		1		0.1910299003322259		0.1918604651162791
9		1		0.1918604651162791		0.1926910299003322
?		1		0.1926910299003322		0.1935215946843854
A		1		0.1935215946843854		0.1943521594684386
C		1		0.1943521594684386		0.1951827242524917
E		1		0.1951827242524917		0.1960132890365449
I		9		0.1960132890365449		0.2034883720930233
L		7		0.2034883720930233		0.2093023255813954
M		2		0.2093023255813954		0.2109634551495017
P		1		0.2109634551495017		0.2117940199335549
T		1		0.2117940199335549		0.2126245847176080
V		1		0.2126245847176080		0.2134551495016612
W		1		0.2134551495016612		0.2142857142857144
a		66		0.2142857142857144		0.2691029900332227
b		15		0.2691029900332227		0.2815614617940200
c		21		0.2815614617940200		0.2990033222591363
d		35		0.2990033222591363		0.3280730897009967
e		123		0.3280730897009967		0.4302325581395350
f		13		0.4302325581395350		0.4410299003322260
g		21		0.4410299003322260		0.4584717607973423
h		33		0.4584717607973423		0.4858803986710964
i		69		0.4858803986710964		0.5431893687707642
j		1		0.5431893687707642		0.5440199335548174
k		14		0.5440199335548174		0.5556478405315616
l		41		0.5556478405315616		0.5897009966777410
m		34		0.5897009966777410		0.6179401993355483
n		69		0.6179401993355483		0.6752491694352161
o		64		0.6752491694352161		0.7284053156146181
p		31		0.7284053156146181		0.7541528239202659
r		51		0.7541528239202659		0.7965116279069769
s		78		0.7965116279069769		0.8612956810631232
t		86		0.8612956810631232		0.9327242524916945
u		33		0.9327242524916945		0.9601328903654487
v		11		0.9601328903654487		0.9692691029900334
w		13		0.9692691029900334		0.9800664451827245
x		3		0.9800664451827245		0.9825581395348839
y		21		0.9825581395348839		1.0000000000000002
